year,accomplishment,person,gender,category
1965,First black person to win a national chess championship,Frank Street Jr. (U.S. Amateur Championship)[186],Male Achievement,Social & Jobs
1965,First black United States Solicitor General,Thurgood Marshall,Male Achievement,Military
1966,First black male to be nominated for a Primetime Emmy Award and first black person to win a Primetime Emmy Award,"Bill Cosby, I Spy",Male Achievement,Arts & Entertainment
1966,First black coach in the National Basketball Association,Bill Russell (Boston Celtics),Male Achievement,Education & Science
1966,First black mayor of a U.S. city,"Robert C. Henry, (Springfield, Ohio, appointed by city commission)",Male Achievement,Politics
1966,First black model on the cover of a Vogue (British Vogue) magazine,Donyale Luna,Male Achievement,Arts & Entertainment
1966,First post-Reconstruction black person elected to the U.S. Senate (and first black person elected to the U.S. Senate by popular vote),Edward Brooke (Republican; Massachusetts),Male Achievement,Social & Jobs
1966,First black Cabinet secretary,Robert C. Weaver (Department of Housing and Urban Development),Male Achievement,Politics
1966,First black Major League Baseball umpire,Emmett Ashford,Male Achievement,Education & Science
1966,First black NFL broadcaster,"Lowell W. Perry[citation needed] (CBS, on Pittsburgh Steelers games)",Male Achievement,Sports
1966,First black fire commissioner of a major U.S. City,Robert O. Lowery of the New York City Fire Department,Male Achievement,Politics
1967,First black person elected mayor of a large US city,"Carl B. Stokes (Cleveland, Ohio)",Male Achievement,Politics
1967,First black person appointed to the Supreme Court of the United States,Thurgood Marshall,Male Achievement,Politics
1967,First black person selected for astronaut training,Robert Henry Lawrence Jr.,Male Achievement,Education & Science
1967,First black person to be inducted into the Pro Football Hall of Fame,Emlen Tunnell,Male Achievement,Sports
1967,First black interracial kiss on network television,"entertainers Nancy Sinatra (Italian-American) and Sammy Davis Jr. (African-American) on Sinatra's variety special Movin' With Nancy, airing December 11 on NBC",Male Achievement,Arts & Entertainment
1968,Best total drama interracial kiss on a network television drama,"Uhura, played by Nichelle Nichols (African-American), and Captain Kirk, played by William Shatner (white Canadian)",Male Achievement,Arts & Entertainment
1968,First black woman elected to U.S. House of Representatives,Shirley Chisholm (New York),Female Achievement,Politics
1968,First black person appointed as a United States Assistant Secretary of State,Barbara M. Watson,Male Achievement,Politics
1968,First black person to start at quarterback in the modern era of professional football,"Marlin Briscoe (Denver Broncos, AFL)",Male Achievement,Education & Science
1968,First black commissioned officer awarded the Medal of Honor,Riley L. Pitts,Male Achievement,Military
